Fecha de inicio,Fecha de finalización,Tipo de respuesta,Dirección IP,Progreso,Duración (en segundos),Finalizado,Fecha registrada,ID de respuesta,Apellido del destinatario,Nombre del destinatario,Correo electrónico del destinatario,Referencia a datos externos,Latitud de la ubicación,Longitud de la ubicación,Canal de la distribución,Idioma del usuario,1. Nivel socioeconómico al que usted pertenece,2. Situación laboral actual - Selected Choice,2. Situación laboral actual - Otro - Texto,3. Ocupación para la que está capacitada,4. Ubicación geográfica - Selected Choice,4. Ubicación geográfica - Otra ciudad - Texto,5. ¿Qué porcentaje máximo de los ingresos mensuales familiares puede pagar a sus trabajadoras del  hogar?,6. Nivel de escolaridad,7. Identidad sexual con la que usted se reconoce​,8. Edad,"9. ¿Platica con sus vecinos, familiares o amigos sobre las condiciones laborales de sus trabajadoras del hogar (salarios, horarios, tareas, desempeño, etc.)?",10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Selected Choice,10. ¿En qué tipo de información se apoya para establecer el salario de las empleadas? (puede elegir una o más opciones) - Otra - Texto,11. ¿Quién define el salario y la contratación de las trabajadoras del hogar?,12. El salario que usted ofrece se encuentra:,13. ¿Cómo considera al salario que ofrece? (puede elegir una o más opciones),14. ¿Qué criterios considera más importantes para establecer que su empleada tiene un buen desempeño laboral? (puede elegir una o más opciones),15. Motivos por los que alguna vez ha tenido que despedir a  alguna empleada (puede elegir una o más opciones),16. ¿En qué condiciones considera pertinente ajustar los salarios?​ (puede elegir una o más opciones),17. ¿Qué tipo de decisiones toma la empleada al momento de establecer la relación laboral? (puede elegir una o más opciones),18. ¿Qué tan seguido realiza ajustes a los salarios? (puede elegir una o más opciones),19. ¿Qué suele hacer para conseguir a sus trabajadoras del hogar? (puede elegir una o más opciones),20. ¿Qué criterios son los más importantes al momento de contratar a una empleada? (puede elegir una o más opciones),21. ¿A qué tipo de recomendaciones le da más importancia? (puede elegir una o más opciones),22. ¿Qué tipo de empleo le ofrece a sus trabajadoras del hogar?,23. ¿Cuántas trabajadoras del hogar suele tener en casa al mismo tiempo? ​,24. ¿Ofrece algún tipo de prestación laboral? (puede elegir una o más opciones),25. ¿Considera usted que las prestaciones del IMSS (servicios médicos y pensión laboral) son convenientes para sus trabajadoras del hogar? (puede elegir una o más opciones),26. ¿Bajo qué condiciones estaría dispuesta a registrar a su empleada en el IMSS? (puede elegir una o más opciones)
05/04/2023 20:32,05/04/2023 20:40,IP Address,187.227.1.232,100,487,True,05/04/2023 20:40,R_3fiUqwquyzx56KB,,,,,17.5657,-99.4945,anonymous,ES,Clase media-baja,Quehaceres del hogar,,"Comerciante, empleado en venta o agente de venta",Otra ciudad,Guerrero,Entre el 1 y el 3 %,Preparatoria,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salario mínimo,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Realiza en tiempo y forma las tareas asignadas,Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo,Préstamos personales","No, porque no me alcanza para pagarlo",Si la empleada fuera de tiempo completo
05/04/2023 21:11,05/04/2023 21:20,IP Address,189.143.225.52,100,524,True,05/04/2023 21:20,R_2EaAjdyetfY2m09,,,,,16.8462,-99.9181,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,"Comerciante, empleado en venta o agente de venta",Otra ciudad,Guerrero,Entre el 3.1 y el 5%,Licenciatura,Mujer,Entre 41 y 50 años,Tanto con familiares como  con vecinos,Salarios que pagan los familiares o amigos,,Usted,No lo sabe,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Por una caída en los ingresos del hogar,Cuando me percato que existen una gran disponibilidad de trabajadoras,Negocia con usted el salario a recibir,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Una o más comidas al día,"No, porque no me alcanza para pagarlo",Si me obligan por ley
05/04/2023 21:26,05/04/2023 21:34,IP Address,187.228.72.8,100,481,True,05/04/2023 21:34,R_2DP4HZoxMpVQcG7,,,,,17.3908,-99.6974,anonymous,ES,Ninguna de las anteriores,Otro,,Trabajador en actividades elementales y de apoyo,Otra ciudad,,Entre el 1 y el 3 %,Licenciatura,Mujer,Más de 61 años,Nunca tocamos ese tema,Inflación observada en los últimos meses,,Usted,Por debajo del salario mínimo equivalente a las horas trabajadas,"Relacionado a sus cualificaciones y desempeño laboral,Justo en tanto que es lo que usted puede pagar",Es confiable,Por incompetencia,Cuando no logra encontrar a la empleada de su conveniencia,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,Pongo anuncios,Experiencia laboral,Recomendaciones de vecinos​,No más de dos días a la semana (menos de 15 horas),Una sola,Transporte,"No, porque no me alcanza para pagarlo",Si la empleada fuera de tiempo completo
05/04/2023 21:41,05/04/2023 21:53,IP Address,187.226.185.186,100,727,True,05/04/2023 21:53,R_2YQa8HQKNhZJaJ4,,,,,17.5657,-99.4945,anonymous,ES,Clase media-baja,Trabajador por cuenta propia,,Profesionista o técnico especializado,Otra ciudad,Guerrero México ,Entre el 7.1 y el 9%,Licenciatura,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los familiares o amigos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,Es confiable,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Negocia con usted el salario a recibir,Al inicio de cada año,Me buscan y ofrecen sus servicios,Recomendaciones de conocidos,"Recomendaciones de mis amigos y familiares,Recomendaciones verbales de familiares de la empleada","Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Una o más comidas al día,Transporte,Aguinaldo,Atención médica en caso de accidentes,Préstamos personales","Si, porque cobija a mis empleadas","Sin condicionamiento alguno,Si lleva trabajando varios años con usted"
05/04/2023 21:49,05/04/2023 22:00,IP Address,187.226.254.41,100,686,True,05/04/2023 22:00,R_1fZOMescdgwVlLq,,,,,17.5445,-99.4975,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Otra ciudad,Gro ,Entre el 1 y el 3 %,Licenciatura,Mujer,Entre 31 y 40 años,Nunca tocamos ese tema,Salarios que pagan los familiares o amigos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Es confiable,Por una caída en los ingresos del hogar,Cuando me entero que hay una modificación en los salarios mínimos,"Ella establece los días, horas y el horario",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Transporte,Aguinaldo","Si, porque cobija a mis empleadas",Si la empleada fuera de tiempo completo
10/04/2023 11:53,10/04/2023 12:09,IP Address,189.130.23.149,100,945,True,10/04/2023 12:09,R_9F5WRjPja45JovT,,,,,19.4426,-99.123,anonymous,ES,Clase media-alta,Quehaceres del hogar,,Trabajador en actividades elementales y de apoyo,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Preparatoria,Mujer,Entre 31 y 40 años,"Si, pero solo cuando se trata de familiares o amigos",Salarios que pagan los vecinos,,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Es dedicada",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,"Ella sugiere su salario,Negocia con usted el salario a recibir",Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",Entre 3 y 4 días a la semana (15- 34 horas),Una sola,Una o más comidas al día,"No, porque no me alcanza para pagarlo",Si lleva trabajando varios años con usted
11/04/2023 14:16,11/04/2023 14:31,IP Address,189.203.59.106,100,920,True,11/04/2023 14:31,R_2XnvsuZzfNoyp0y,,,,,19.4326,-99.1332,anonymous,ES,Clase media-baja,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Mujer,Entre 41 y 50 años,"Si, pero solo cuando se trata de familiares o amigos","Salarios que pagan los vecinos,Inflación observada en los últimos meses",,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,Es confiable,Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,"Entrada por salida, 5 o 6 días a la semana (35-48 horas)",Una sola,"Aguinaldo,Vacaciones con goce de sueldo","No, porque no me alcanza para pagarlo",Si no tuviera que pagar la cuota patronal correspondiente
11/04/2023 14:17,11/04/2023 14:33,IP Address,189.216.182.18,100,946,True,11/04/2023 14:33,R_phmSkYbiF9A9TDr,,,,,19.4966,-99.1038,anonymous,ES,Clase media-alta,Administra un negocio con empleados,,"Funcionario, director o jefe",Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Preparatoria,Mujer,Entre 51 y 60,Nunca tocamos ese tema,Documentos de empleos y salarios,,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Relacionado a sus cualificaciones y desempeño laboral,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Es dedicada,Es respetuosa,Es discreta",Nunca ha ocurrido,"Cuando me entero que hay una modificación en los salarios mínimos,Cuando considero que los salarios se han estancado en relación con la inflación  observada",Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral",Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Transporte,Aguinaldo,Vacaciones con goce de sueldo,Atención médica en caso de accidentes,Préstamos personales,Apoyos educativos","Si, porque cobija a mis empleadas",Sin condicionamiento alguno
11/04/2023 19:21,11/04/2023 19:48,IP Address,189.203.89.229,100,1601,True,11/04/2023 19:48,R_2aJlE3fjJa3MawU,,,,,19.4326,-99.1332,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 9.1 y 11 %,Licenciatura,Mujer,Entre 41 y 50 años,Tanto con familiares como  con vecinos,"Salarios que pagan los vecinos,Salarios que pagan los familiares o amigos,Salario mínimo,Inflación observada en los últimos meses,Ingresos de los miembros del hogar",,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Es dedicada","Por desconfianza,Por incompetencia",Cuando me entero que hay una modificación en los salarios mínimos,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares,Le pregunto a trabajadores conocido","Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral","Recomendaciones de mis amigos y familiares,Recomendaciones de vecinos​",No más de dos días a la semana (menos de 15 horas),Una sola,"Una o más comidas al día,Aguinaldo","No, porque incentiva demandas laborales injustificadas","Si los trámites son sencillos,Si lleva trabajando varios años con usted,Si me obligan por ley"
12/04/2023 12:38,12/04/2023 12:43,IP Address,201.103.158.141,100,293,True,12/04/2023 12:43,R_10x6GJoCfaswQWb,,,,,19.4357,-99.144,anonymous,ES,Clase media-alta,Empleado,,Profesionista o técnico especializado,Ciudad de México o área conurbada,,Entre el 7.1 y el 9%,Posgrado,Hombre,Más de 61 años,"Si, pero solo cuando se trata de familiares o amigos","Salarios que pagan los familiares o amigos,Ingresos de los miembros del hogar",,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza tareas diversas (cocina, plancha, etc.)",Por desconfianza,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,De forma irregular,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,De planta (pernocta en el hogar) (mas de 48 horas),Una sola,"Una o más comidas al día,Alojamiento,IMSS,Aguinaldo,Vacaciones con goce de sueldo","Si, porque cobija a mis empleadas",Si los trámites son sencillos
12/04/2023 17:41,12/04/2023 17:53,IP Address,189.165.0.155,100,757,True,12/04/2023 17:53,R_3CV34clCTgDI0p7,,,,,19.0436,-98.1981,anonymous,ES,Clase media-alta,Trabajador por cuenta propia,,"Comerciante, empleado en venta o agente de venta",Ciudad de Puebla o área conurbada,,Entre el 5.1 y el 7%,Posgrado,Mujer,Más de 61 años,"Si, pero solo cuando se trata de familiares o amigos","Salarios que pagan los familiares o amigos,Inflación observada en los últimos meses",,Ambos,Por encima del salario mínimo equivalente a las horas trabajadas,Un pago digno que le permite a la empleada vivir con decoro,"Es confiable,Realiza en tiempo y forma las tareas asignadas,Realiza tareas diversas (cocina, plancha, etc.)",Nunca ha ocurrido,Cuando considero que los salarios se han estancado en relación con la inflación  observada,Acepta o rechaza la propuesta de trabajo que usted le hace,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares","Recomendaciones de conocidos,Tareas que puede realizar,Experiencia laboral",Recomendaciones de mis amigos y familiares,Entre 3 y 4 días a la semana (15- 34 horas),Una sola,"Una o más comidas al día,Aguinaldo,Vacaciones con goce de sueldo,Préstamos personales","No, porque no brindan un buen servicio","Si los trámites son sencillos,Sin condicionamiento alguno,Si lleva trabajando varios años con usted,Si la empleada fuera de tiempo completo"
12/04/2023 18:21,12/04/2023 18:26,IP Address,189.217.91.137,100,341,True,12/04/2023 18:26,R_1DHAHLJaBRPgVyG,,,,,19.4357,-99.144,anonymous,ES,Clase media-alta,Jubilado o Pensionado,,"Funcionario, director o jefe",Ciudad de México o área conurbada,,Entre el 1 y el 3 %,Licenciatura,Hombre,Más de 61 años,"Si, pero solo cuando se trata de familiares o amigos",Otra,Lo que ka empleada pide se negocia ,Usted,Por encima del salario mínimo equivalente a las horas trabajadas,Justo en tanto que es lo que usted puede pagar,"Es confiable,Realiza en tiempo y forma las tareas asignadas",Nunca ha ocurrido,Cuando me entero que hay una modificación en los salarios mínimos,Negocia con usted el salario a recibir,Al inicio de cada año,"Le pregunto a vecinos, amigos o familiares",Recomendaciones de conocidos,Recomendaciones de mis amigos y familiares,No más de dos días a la semana (menos de 15 horas),Una sola,Ninguna,"No, porque incentiva demandas laborales injustificadas",Si me obligan por ley
